name,status,group_year,movie_id
norton,i,2010,25969438
lien,i,2000,5313
bai,i,2000,5313
bai,i,2004,213462
bai,i,2008,3478537
bai,i,2010,20015850
bai,i,1983,13457412
may,b,1983,583932
may,b,1983,6766262
may,i,2002,898561
may,i,2004,612052
may,i,2012,25862453
may,i,2000,16038065
may,i,2007,7865977
lo,i,2000,213149
lo,i,2007,2863319
lo,i,2003,443011
lo,i,1962,58147
lo,i,2002,3511710
li,i,2000,5313
li,i,2001,652539
li,i,2008,17298868
li,i,2010,26340083
li,i,1987,21641410
fox,t,2012,29075630
fox,t,2012,3112909
fox,t,2012,17651907
fox,t,1993,142435
fox,t,1993,3985182
fox,t,1993,2294568
fox,i,2008,12320671
fox,i,2005,481605
fox,i,2000,600351
fox,i,1998,20568913
fox,i,2007,5102319
te,i,2000,5313
jade,i,2009,21918632
jade,i,1996,29785
jade,i,2000,5313
jade,i,2008,6703617
jade,i,1998,30865068
jen,i,2011,3326078
jen,i,2000,5313
jen,i,2010,30884495
jen,i,1982,348292
jen,i,2004,1083768
master,b,1979,312757
master,b,1979,3775827
master,b,1979,1802944
master,i,2008,10945488
master,i,2012,33240946
master,i,2011,31235673
master,i,2000,6339198
master,i,2003,2852763
shu,i,2000,5313
shu,i,2007,5631382
sir,t,1964,3650653
sir,t,1964,2609169
sir,t,1964,3910173
sir,i,1974,9735679
sir,i,2006,16430476
sir,i,2010,7255312
sir,i,2000,5313
sir,i,2004,20735684
tsai,i,2000,5313
bo,t,2002,335298
bo,t,2002,72453
bo,t,2002,5313
bo,i,1995,8549241
bo,i,2005,694787
bo,i,2004,1468152
bo,i,2008,20541493
bo,i,1991,4979871
yu,i,2000,5313
yu,i,2006,14650104
yu,i,2011,29429988
yu,i,2008,5414895
yu,i,2007,5631382
jennie,t,1948,1478417
jennie,i,1995,615418
jennie,i,1981,5729
jennie,i,1999,3747542
jennie,i,1988,13348400
jennie,i,1925,27877448
sybil,t,2011,29034540
sybil,i,2005,1682805
sybil,i,1981,5729
sybil,i,2002,1223711
sybil,i,1976,983692
sybil,i,1957,6991514
harold,t,1959,4845241
harold,t,1959,3591801
harold,t,1959,18909960
harold,t,1984,113460
harold,t,1984,7668793
harold,t,1984,5729
harold,t,1978,1428872
harold,t,1978,724449
harold,t,1978,19149675
harold,i,2004,939561
harold,i,2008,20280702
harold,i,2013,36239136
harold,i,2010,20313018
harold,i,2007,903383
lindsay,t,1972,17925680
lindsay,t,1972,18537242
lindsay,t,1994,1006385
lindsay,t,1994,19860911
lindsay,t,2002,360138
lindsay,t,2002,871130
lindsay,t,2002,1728600
lindsay,i,2010,24642031
lindsay,i,1981,5729
lindsay,i,2007,14208812
lindsay,i,2008,30174182
lindsay,i,2011,32863724
sam,t,1955,74011
sam,t,1955,290970
